0.45% Sodium Cl 1000mL,last_updated_on,version,hospital_location,hospital_address,license_number|MO,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,
ANES Ultrasound Guidance Block Line Placement Epidural,3661945,CDM,361,RC,,,,,facility,inpatient,,,6320,1832.8,Aetna,First Health,,5169.76,,,,3792,5169.76,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,3661945,CDM,361,RC,,,,,facility,outpatient,,,6320,1832.8,Aetna,First Health,,5169.76,,,,2212,5169.76,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,3661947,CDM,610,RC,,,,,facility,inpatient,,,5568,1614.72,Aetna,First Health,,4554.62,,,,3340.8,4554.62,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,3661947,CDM,610,RC,,,,,facility,outpatient,,,5568,1614.72,Aetna,First Health,,4554.62,,,,1948.8,4554.62,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,8435861,CDM,611,RC,,,,,facility,inpatient,,,2200,638,Aetna,First Health,,1799.6,,,,1320,1799.6,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,8435861,CDM,611,RC,,,,,facility,outpatient,,,2200,638,Aetna,First Health,,1799.6,,,,770,1799.6,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,8927571,CDM,9999,RC,,,,,facility,inpatient,,,2784,807.36,Aetna,First Health,,2277.31,,,,1670.4,2277.31,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,8927571,CDM,9999,RC,,,,,facility,outpatient,,,2784,807.36,Aetna,First Health,,2277.31,,,,974.4,2277.31,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,8396281,CDM,300,RC,87641,CPT,,,facility,inpatient,,,231,66.99,Aetna,First Health,,188.96,,,,138.6,188.96,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,8396281,CDM,300,RC,87641,CPT,,,facility,outpatient,,,231,66.99,Aetna,First Health,,188.96,,,,32.53,188.96,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,614329,CDM,610,RC,70336,CPT,,,facility,inpatient,,,2350,681.5,Aetna,First Health,,1922.3,,,,1410,1922.3,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,614329,CDM,610,RC,70336,CPT,,,facility,outpatient,,,2350,681.5,Aetna,First Health,,1922.3,,,,205.43,2145,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,7285970,CDM,610,RC,70540,CPT,,,facility,inpatient,,,2350,681.5,Aetna,First Health,,1922.3,,,,1410,1922.3,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,7285970,CDM,610,RC,70540,CPT,,,facility,outpatient,,,2350,681.5,Aetna,First Health,,1922.3,,,,205.43,2145,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,7524018,CDM,610,RC,70540,CPT,,,facility,inpatient,,,2350,681.5,Aetna,First Health,,1922.3,,,,1410,1922.3,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,7524018,CDM,610,RC,70540,CPT,,,facility,outpatient,,,2350,681.5,Aetna,First Health,,1922.3,,,,205.43,2145,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,8001051,CDM,610,RC,70540,CPT,,,facility,inpatient,,,2350,681.5,Aetna,First Health,,1922.3,,,,1410,1922.3,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,8001051,CDM,610,RC,70540,CPT,,,facility,outpatient,,,2350,681.5,Aetna,First Health,,1922.3,,,,205.43,2145,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,7524014,CDM,610,RC,70542,CPT,,,facility,inpatient,,,2404,697.16,Aetna,First Health,,1966.47,,,,1442.4,1966.47,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,7524014,CDM,610,RC,70542,CPT,,,facility,outpatient,,,2404,697.16,Aetna,First Health,,1966.47,,,,322.43,2145,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,7544104,CDM,610,RC,70542,CPT,,,facility,inpatient,,,2404,697.16,Aetna,First Health,,1966.47,,,,1442.4,1966.47,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,7544104,CDM,610,RC,70542,CPT,,,facility,outpatient,,,2404,697.16,Aetna,First Health,,1966.47,,,,322.43,2145,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,8001046,CDM,610,RC,70542,CPT,,,facility,inpatient,,,2404,697.16,Aetna,First Health,,1966.47,,,,1442.4,1966.47,percent of total billed charges,
ANES Ultrasound Guidance Block Line Placement Epidural,8001046,CDM,610,RC,70542,CPT,,,facility,outpatient,,,2404,697.16,Aetna,First Health,,1966.47,,,,322.43,2145,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING",7285974,CDM,610,RC,70543,CPT,,,facility,inpatient,,,2518,730.22,Aetna,First Health,,2059.72,,,,1510.8,2059.72,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING",7285974,CDM,610,RC,70543,CPT,,,facility,outpatient,,,2518,730.22,Aetna,First Health,,2059.72,,,,322.43,2145,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING",7544141,CDM,610,RC,70543,CPT,,,facility,inpatient,,,2518,730.22,Aetna,First Health,,2059.72,,,,1510.8,2059.72,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING",7544141,CDM,610,RC,70543,CPT,,,facility,outpatient,,,2518,730.22,Aetna,First Health,,2059.72,,,,322.43,2145,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING",8001073,CDM,610,RC,70543,CPT,,,facility,inpatient,,,2518,730.22,Aetna,First Health,,2059.72,,,,1510.8,2059.72,percent of total billed charges,
"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, INTERMEDIATE JOINT OR BURSA (EG, TEMPOROMANDIBULAR, ACROMIOCLAVICULAR, WRIST, ELBOW OR ANKLE, OLECRANON BURSA); WITH ULTRASOUND GUIDANCE, WITH PERMANENT RECORDING AND REPORTING",8001073,CDM,610,RC,70543,CPT,,,facility,outpatient,,,2518,730.22,Aetna,First Health,,2059.72,,,,322.43,2145,percent of total billed charges,
